,edad,edo_civil,escolaridad,hora,mes,mpio,parentesco,cuantos
168,6,SOLTERO,PRIMARIA,N,1,GUADALUPE,NINGUNO,1
169,33,CASADO,TÉCNICO,N,1,GUADALUPE,NINGUNO,1
170,32,CASADO,SECUNDARIA,N,1,APODACA,ESPOSO,1
171,57,SOLTERO,PREPARATORIA,T,1,APODACA,CONCUBINO,1
172,33,SOLTERO,SECUNDARIA,N,1,APODACA,ESPOSO,1
173,47,CASADO,TÉCNICO,N,1,APODACA,ESPOSO,1
174,35,CASADO,POSGRADO,N,1,APODACA,ESPOSO,1
175,50,CASADO,TÉCNICO,M,1,APODACA,ESPOSO,1
176,20,CASADO,PREPARATORIA,T,1,APODACA,ESPOSO,1
177,56,SOLTERO,NINGUNO,M,1,DOCTOR ARROYO,ESPOSO,1
178,36,CASADO,SECUNDARIA,N,1,DOCTOR ARROYO,ESPOSO,1
179,72,SOLTERO,NINGUNO,T,1,DOCTOR ARROYO,HIJO,1
180,42,CASADO,TÉCNICO,N,1,EL CARMEN,ESPOSO,1
181,34,CASADO,PRIMARIA,T,1,ESCOBEDO,ESPOSO,1
182,35,CASADO,SECUNDARIA,N,1,ESCOBEDO,UL,1
183,35,CASADO,SECUNDARIA,T,1,GARCÍA,CONCUBINO,1
184,38,SOLTERO,PRIMARIA,M,1,GARCÍA,NINGUNO,1
185,33,CASADO,SECUNDARIA,N,1,GARCÍA,CONCUBINO,1
186,38,CASADO,LICENCIATURA,T,1,GUADALUPE,ESPOSO,1
187,32,CASADO,LICENCIATURA,N,1,GUADALUPE,ESPOSO,1
188,44,CASADO,SECUNDARIA,M,1,GUADALUPE,NINGUNO,1
189,55,CASADO,SECUNDARIA,N,1,GUADALUPE,NINGUNO,1
190,20,SOLTERO,LICENCIATURA,M,1,GUADALUPE,PADRE,1
191,29,SOLTERO,PREPARATORIA,M,1,JUÁREZ,EXESPOSO,1
192,21,CASADO,SECUNDARIA,T,1,MONTERREY,CONCUBINO,1
193,57,SOLTERO,PRIMARIA,T,1,MONTERREY,HIJO,1
194,24,CASADO,SECUNDARIA,M,1,PESQUERÍA,CONCUBINO,1
195,38,CASADO,SECUNDARIA,N,1,PESQUERÍA,CONCUBINO,1
196,32,SOLTERO,SECUNDARIA,M,1,PESQUERÍA,EXESPOSO,1
