edad_a,edad_v,escolaridad,hora,mes,mpio,parentesco,sexo_a,sexo_v
29,26,PREPARATORIA,1,1,GARCÍA,CONCUBINO,0,1
53,48,PREPARATORIA,1,1,GUADALUPE,NINGUNO,0,1
20,61,PRIMARIA,1,1,GUADALUPE,NINGUNO,0,0
68,58,TÉCNICO,1,1,GUADALUPE,NINGUNO,0,1
28,54,SECUNDARIA,1,1,JUÁREZ,HIJO,0,0
28,28,SECUNDARIA,0,1,MONTEMORELOS,ESPOSO,0,1
33,30,SECUNDARIA,2,1,MONTEMORELOS,NINGUNO,0,1
50,30,SECUNDARIA,2,1,MONTEMORELOS,CONCUBINO,0,1
25,27,LICENCIATURA,2,1,MONTEMORELOS,ESPOSO,0,1
43,42,PRIMARIA,2,1,MONTERREY,CONCUBINO,0,1
52,51,LICENCIATURA,0,1,MONTERREY,ESPOSO,0,1
28,22,PREPARATORIA,1,1,MONTERREY,ESPOSO,0,1
38,27,SECUNDARIA,1,1,MONTERREY,NINGUNO,0,1
24,25,PREPARATORIA,2,1,MONTERREY,CONCUBINO,1,0
33,33,PREPARATORIA,1,1,SALINAS VICTORIA,ESPOSO,0,1
25,24,SECUNDARIA,0,1,SALINAS VICTORIA,CONCUBINO,0,1
29,25,PREPARATORIA,2,1,SAN NICOLÁS DE LOS GARZA,ESPOSO,0,1
39,20,SECUNDARIA,1,1,SANTA CATARINA,UL,0,1
30,28,PREPARATORIA,2,1,CADEREYTA JIMÉNEZ,NINGUNO,0,1
43,37,SECUNDARIA,0,1,CADEREYTA JIMÉNEZ,ESPOSO,0,1
42,41,SECUNDARIA,0,1,CADEREYTA JIMÉNEZ,NINGUNO,1,0
46,48,SECUNDARIA,2,1,EL CARMEN,ESPOSO,0,1
49,49,TÉCNICO,1,1,ESCOBEDO,NINGUNO,0,1
34,33,SECUNDARIA,1,1,ESCOBEDO,NINGUNO,1,1
23,16,PRIMARIA,1,1,ESCOBEDO,CONCUBINO,0,1
27,54,TÉCNICO,0,1,ESCOBEDO,HIJO,0,0
53,50,PRIMARIA,2,1,ESCOBEDO,ESPOSO,0,1
37,40,LICENCIATURA,0,1,ESCOBEDO,ESPOSO,1,0
30,34,TÉCNICO,1,1,ESCOBEDO,EXESPOSO,0,1
38,46,PREPARATORIA,1,1,ESCOBEDO,NINGUNO,1,0
28,26,SECUNDARIA,0,1,ESCOBEDO,NINGUNO,0,1
38,13,SECUNDARIA,1,1,ESCOBEDO,PADRE,0,0
54,43,TÉCNICO,2,1,ESCOBEDO,ESPOSO,0,1
49,38,SECUNDARIA,1,1,ESCOBEDO,ESPOSO,0,1
48,54,LICENCIATURA,1,1,ESCOBEDO,CONCUBINO,0,1
42,42,SECUNDARIA,1,1,ESCOBEDO,ESPOSO,0,1
43,32,TÉCNICO,2,1,ESCOBEDO,ESPOSO,0,1
33,63,PRIMARIA,2,1,GARCÍA,HIJO,0,1
33,28,PRIMARIA,0,1,GARCÍA,ESPOSO,0,1
33,48,SECUNDARIA,1,1,GARCÍA,ESPOSO,0,1
24,24,SECUNDARIA,2,1,GARCÍA,CONCUBINO,0,1
36,32,TÉCNICO,1,1,GARCÍA,NINGUNO,0,1
38,40,LICENCIATURA,0,1,GARCÍA,NINGUNO,0,1
40,43,PREPARATORIA,2,1,GARCÍA,ESPOSO,0,1
28,31,SECUNDARIA,0,1,GARCÍA,ESPOSO,1,0
28,29,PREPARATORIA,1,1,GARCÍA,ESPOSO,0,1
41,31,PREPARATORIA,2,1,GARCÍA,CONCUBINO,0,1
30,29,SECUNDARIA,1,1,GARCÍA,ESPOSO,0,1
29,34,SECUNDARIA,0,1,GARCÍA,CONCUBINO,0,1
26,27,LICENCIATURA,1,1,GUADALUPE,ESPOSO,0,1
45,78,PRIMARIA,0,1,GUADALUPE,NINGUNO,0,0
39,37,SECUNDARIA,2,1,GUADALUPE,ESPOSO,0,1
48,47,SECUNDARIA,2,1,GUADALUPE,NINGUNO,0,1
28,26,SECUNDARIA,2,1,GUADALUPE,NINGUNO,0,0
23,26,PREPARATORIA,0,1,GUADALUPE,NINGUNO,1,0
38,39,SECUNDARIA,2,1,JUÁREZ,CONCUBINO,0,1
33,41,SECUNDARIA,2,1,JUÁREZ,CONCUBINO,0,1
38,42,SECUNDARIA,0,1,JUÁREZ,ESPOSO,0,1
33,13,PRIMARIA,1,1,JUÁREZ,PADRE,0,0
41,33,PREPARATORIA,1,1,JUÁREZ,NINGUNO,1,0
53,23,SECUNDARIA,1,1,JUÁREZ,PADRE,0,1
19,18,PRIMARIA,1,1,JUÁREZ,CONCUBINO,0,1
33,43,SECUNDARIA,2,1,JUÁREZ,CONCUBINO,0,1
37,30,SECUNDARIA,1,1,JUÁREZ,NINGUNO,0,1
28,29,SECUNDARIA,0,1,MONTERREY,ESPOSO,0,1
40,40,POSGRADO,1,1,MONTERREY,NINGUNO,0,1
40,38,PRIMARIA,1,1,MONTERREY,CONCUBINO,0,1
28,27,PREPARATORIA,1,1,SALINAS VICTORIA,NINGUNO,0,1
47,38,SECUNDARIA,0,1,SAN PEDRO GARZA GARCÍA,NINGUNO,0,0
33,34,LICENCIATURA,2,1,SANTA CATARINA,NINGUNO,0,1
40,34,PRIMARIA,1,1,SANTA CATARINA,NINGUNO,0,1
41,37,SECUNDARIA,1,1,ALLENDE,ESPOSO,0,1
26,6,PRIMARIA,1,1,APODACA,HIJO,0,1
35,29,SECUNDARIA,0,1,CADEREYTA JIMÉNEZ,NINGUNO,0,1
42,30,SECUNDARIA,0,1,GUADALUPE,NINGUNO,0,1
40,40,LICENCIATURA,1,1,GUADALUPE,NINGUNO,0,1
46,44,TÉCNICO,1,1,GUADALUPE,ESPOSO,0,1
35,40,SECUNDARIA,0,1,GUADALUPE,ESPOSO,0,1
51,42,SECUNDARIA,2,1,GUADALUPE,NINGUNO,0,1
38,38,NINGUNO,1,1,GUADALUPE,ESPOSO,0,1
75,43,SECUNDARIA,1,1,GUADALUPE,NINGUNO,0,1
35,47,PRIMARIA,0,1,GUADALUPE,NINGUNO,1,0
33,32,PRIMARIA,1,1,LINARES,UL,0,1
22,20,PREPARATORIA,2,1,MARÍN,CONCUBINO,0,1
43,30,PRIMARIA,0,1,MINA,CONCUBINO,0,1
26,24,SECUNDARIA,2,1,MONTERREY,NINGUNO,0,0
42,63,PRIMARIA,0,1,MONTERREY,MADRE,1,1
43,39,SECUNDARIA,1,1,SAN PEDRO GARZA GARCÍA,ESPOSO,0,1
38,41,SECUNDARIA,0,1,ZUAZUA,NINGUNO,0,1
28,66,PRIMARIA,0,1,ALLENDE,PADRE,0,0
48,78,PRIMARIA,0,1,ANAHUAC,PADRE,0,0
48,48,SECUNDARIA,0,1,APODACA,NINGUNO,0,1
25,24,SECUNDARIA,0,1,CIÉNEGA DE FLORES,CONCUBINO,0,1
65,61,SECUNDARIA,1,1,EL CARMEN,ESPOSO,0,1
28,10,PRIMARIA,1,1,EL CARMEN,MADRE,1,1
29,28,PREPARATORIA,0,1,EL CARMEN,NINGUNO,0,1
29,26,PREPARATORIA,1,1,ESCOBEDO,NINGUNO,0,1
40,43,SECUNDARIA,2,1,ESCOBEDO,NINGUNO,0,1
23,34,SECUNDARIA,0,1,ESCOBEDO,CONCUBINO,1,0
33,38,SECUNDARIA,1,1,ESCOBEDO,NINGUNO,1,0
35,34,PRIMARIA,0,1,ESCOBEDO,ESPOSO,0,1
22,23,PREPARATORIA,1,1,GALEANA,ESPOSO,0,1
50,41,SECUNDARIA,1,1,GALEANA,NINGUNO,0,1
29,27,SECUNDARIA,2,1,GARCÍA,ESPOSO,0,1
19,21,PREPARATORIA,2,1,GARCÍA,CONCUBINO,0,1
22,26,SECUNDARIA,2,1,GARCÍA,CONCUBINO,0,1
30,30,SECUNDARIA,1,1,GARCÍA,ESPOSO,1,0
26,22,SECUNDARIA,2,1,GARCÍA,ESPOSO,0,1
20,19,SECUNDARIA,1,1,GARCÍA,CONCUBINO,0,1
33,33,TÉCNICO,1,1,GARCÍA,ESPOSO,0,0
33,30,SECUNDARIA,1,1,GARCÍA,CONCUBINO,1,0
23,20,SECUNDARIA,1,1,GUADALUPE,NINGUNO,0,1
52,32,PREPARATORIA,2,1,GUADALUPE,MADRE,1,1
43,38,SECUNDARIA,0,1,GUADALUPE,ESPOSO,0,1
33,30,PRIMARIA,0,1,JUÁREZ,CONCUBINO,0,1
29,19,PRIMARIA,1,1,MINA,CONCUBINO,0,1
23,22,TÉCNICO,1,1,MONTERREY,CONCUBINO,0,1
27,61,SECUNDARIA,0,1,SABINAS HIDALGO,MADRE,0,1
29,29,SECUNDARIA,2,1,SALINAS VICTORIA,NINGUNO,0,1
38,36,PREPARATORIA,0,1,SAN NICOLÁS DE LOS GARZA,NINGUNO,0,1
28,55,LICENCIATURA,0,1,SAN NICOLÁS DE LOS GARZA,NINGUNO,0,1
44,19,PREPARATORIA,1,1,SANTA CATARINA,PADRASTRO,0,1
40,35,SECUNDARIA,1,1,ZUAZUA,ESPOSO,0,1
28,22,PREPARATORIA,2,1,ZUAZUA,UL,0,1
29,30,PREPARATORIA,2,1,GARCÍA,ESPOSO,0,1
34,32,SECUNDARIA,0,1,GUADALUPE,NINGUNO,0,1
38,39,PREPARATORIA,1,1,GUADALUPE,ESPOSO,1,0
